,mean_spend,count
0,49.5,528965
1,149.5,84818
2,249.5,48745
3,1249.5,34357
4,349.5,32445
5,449.5,23726
6,1749.5,21641
7,549.5,18380
8,2249.5,15317
9,649.5,14974
10,749.5,12554
11,2749.5,10943
12,849.5,10918
13,949.5,9580
14,3249.5,8413
15,12499.5,7510
16,5499.5,6960
17,3749.5,6841
18,4249.5,5557
19,6499.5,5293
20,4749.5,4710
21,7499.5,3995
22,17499.5,3664
23,8499.5,3221
24,9499.5,2579
25,22499.5,2037
26,27499.5,1208
27,32499.5,840
28,37499.5,475
29,42499.5,345
30,54999.5,326
31,47499.5,254
32,64999.5,220
33,74999.5,97
34,84999.5,85
35,112499.5,74
36,94999.5,70
37,137499.5,46
38,162499.5,17
39,187499.5,13
40,224999.5,11
41,274999.5,1
