,mean_impressions,avg(mean_spend)
0,949999.5,10996.5703125
1,849999.5,10134.784810126583
2,749999.5,8802.708556149733
3,649999.5,7665.324384080859
4,549999.5,6564.147377938517
5,474999.5,6002.773577552611
6,424999.5,5052.5191873589165
7,374999.5,4260.205973622964
8,324999.5,3945.8684676705047
9,274999.5,3345.7251507706055
10,224999.5,2764.897328191709
11,187499.5,2326.2303822937624
12,162499.5,2101.389736477115
13,137499.5,1777.7194916275148
14,112499.5,1404.1206106245395
15,94999.5,1281.0307328605202
16,84999.5,1164.2940773920618
17,74999.5,1022.8173076923077
18,64999.5,892.3103752203475
19,54999.5,766.7840265813438
20,47499.5,690.1178829587088
21,42499.5,619.7747572009629
22,37499.5,540.4595344430911
23,32499.5,487.01516822945393
24,27499.5,416.39221635307985
25,22499.5,349.30075712293285
26,17499.5,271.2569713097341
27,12499.5,197.28873896190947
28,9499.5,154.71450459652706
29,8499.5,139.8714520397919
30,7499.5,125.12936800180356
31,6499.5,110.88389342067967
32,5499.5,96.44447941583785
33,4499.5,82.69383043520975
34,3499.5,70.50631867730968
35,2499.5,61.02759025963304
36,1499.5,53.63540366784084
37,499.5,49.67291690866978
38,,22958.98827292111
