,ad_creative_link_caption,count
0,donaldjtrump.com,581956
1,https://www.donaldjtrump.com/,480987
2,https://shop.donaldjtrump.com,466049
3,www.donaldjtrump.com/donate,196981
4,winred.com,162104
5,https://forms.donaldjtrump.com/,101477
6,www.donaldjtrump.com/,46754
7,american-herald.com,35568
8,https://secure.winred.com,16030
9,https://www.barelytherebiden.com/,8923
10,https://www.secure.winred.com/tmagac/,8771
11,beijingbiden.com,8082
12,secure.a1apac.org,6638
13,play.google.com,4631
14,https://secure.winred.com/tmagac/maga-pint-glasses/,4098
15,itunes.apple.com,3927
16,https://www.donaldjtrump.com/landingpage/sba-latinos-for-trump/,3925
17,https://secure.winred.com/,3819
18,https://action.donaldjtrump.com/coronavirus-approval-poll/,3544
19,a1apac.org,3496
20,https://action.donaldjtrump.com/immigration-executive-order-survey/,3376
21,vote.donaldjtrump.com,3244
22,https://secure.americafirstaction.com,3180
23,secure.winred.com,1777
24,secure.americafirstaction.com,1683
25,https://secure.a1apac.org,1231
26,action.donaldjtrump.com,720
27,facebook.com,687
28,https://shop.donaldjtrump.com/products/donald-j-trump-limited-edition-fine-art-print/,608
29,https://forms.donaldjtrump.com/landing/trump-vs-biden-poll/,581
30,events.donaldjtrump.com,420
31,https://events.donaldjtrump.com/events/black-voices-for-trump-real-talk-online-april-20/,398
32,https://www.doldjtrump.com/,366
33,https://www.donaldjtrump.com/landingpage/catholics-for-trump-es/,303
34,,300
35,forms.donaldjtrump.com,285
36,https://asians.donaldjtrump.com/,285
37,https://events.donaldjtrump.com/events/team-trump-online-ft-donald-trump-jr-and-kimberly-guilfoyle/,285
38,https://www.donaldjtrump.com/landing/trump-for-2020-poll/,281
39,https://events.donaldjtrump.com/events/women-for-trump-empower-hour-with-mercedes-schlapp-april-15/,267
40,https://events.donaldjtrump.com/events/team-trump-online-april-23/,213
41,www.donaldjtrump.com,159
42,https://events.donaldjtrump.com/events/team-trump-online-april-25/,142
43,https://events.donaldjtrump.com/events/veterans-for-trump-online-battle-brief-april-13/,112
44,https://events.donaldjtrump.com/events/team-trump-online-ft-lara-trump-april-16/,89
45,secure.a1apac,79
46,https://events.donaldjtrump.com/events/team-trump-online-triggered-april-24/,72
47,https://events.donaldjtrump.com/events/veterans-for-trump-online-battle-brief-april-27/,72
48,america-first-action-inc.revv.co,58
49,fb.me,48
50,https://events.donaldjtrump.com/events/,37
51,https://www.donaldjtrump.com/events/,19
52,https://shop.donaldjtrump.com/,16
53,https://secure.a1apac.org/djt-approval/?,16
54,https://secure.a1apac.org/pledgetovote?,16
55,fb.com,16
56,https://www.youaintblack.com/,12
57,https://american-herald.com/2020/09/10/beijing-biden/,11
58,https://www.donaldjtrump.com/landing/sleepy-joe/,3
